line,intent
"Sometimes, it is hard just to ask.",Casual Conversation
Is this some sort of 'new age hocus pocus'?,Snark/Sarcasm
"I'm not sure. Soon, you'll start talking to each other.",Casual Conversation
Even though at times they may cost us extra problems?,Subjective Questions
Do you recall the promise you made? Till death do you part?,Emotional Expression
I'm searching for an ex girlfriend's phone number.,Information Seeking
"If you need to ask that kind of question, maybe you should.",Advice/Opinion-seeking
Can a boy and a girl just be friends?,Opinion Seeking
That depends on how quickly you stopped.,Procedurality
Take a minute to stop and think about it.,Advice/Opinion-seeking
Paying attention to little details will help you reach your goals.,Advice/Opinion-seeking
I don't think it was done purposefully.,Opinion-Seeking
I knew a girl that I grew up with at church. We dated.,Personal Experiences/Recommendations
"Find that particular man, my dear, and you'll have a keeper.",Advice/Opinion-seeking
"Excuse the photograph, I just thought that it would be funny.",Humor
"There are quite a few women that I find interest in, however, I don't think they're interested in me.",Emotional Expression
"It's difficult to do this without knowing your wife, but that's just my general advice.",Advice/Opinion-seeking
She may have had another guy there and couldn't answer.,Judging
"Yes, if you really love her.",Advice/Opinion-seeking
I know I love her more that this guy.,Assessing/Judging
Has she been through a bad breakup?,Information Seeking
"Congratulations, that is a wonderful gift.",Support
"I'd like to enjoy an appetizer somewhere, get drinks elsewhere, have a fun 6-course dinner, and enjoy dessert at home.",Preferences/Decisions
There is too much drama with this person.,Complaints/Rants
Just pretend to be hetersexual. That may turn her off and it would all go back to normal.,Advice/Opinion-seeking
When you get married - two becomes one!,Casual Conversation
Get over it! Go outside and find a real one.,Snark/Sarcasm
When asking her to go out for walks you should be careful to mention her age in the question.,Advice/Opinion-seeking
You could ask him to role-play as a homosexual man during the encounter.,Advice/Opinion-seeking
Do not wait for them to approach you.,Advice/Opinion-Seeking
It is wonderful if you can provide and good home.,Support
I have no problem with her boyfriend sleeping over every night.,Opinion
You can certainly return but only if you are not smart.,Snark/Sarcasm
Do not make the mistake of inventing a pretend boyfriend because he will think you are unavailable.,Warning/Caution
Then we are dreaming about sex.,Casual Conversation
Then you and your husband will still have a lot of time to play.,Casual Conversation
What does their mother think about this?,Information Seeking
I no longer find her sexually attractive.,Complaints/Rants
You can rely on me to make mention of it.,Support
"When you are in love, cheating is not an option.  However, if you just feel a sense of affection for someone, you might still be attracted to others.",Opinion (Judging)
I am only half sure.,Opinion
"Just out of curiosity, ask your best friend to seduce him and see how he responds.",Advice/Opinion-seeking
"It is unacceptable to marry your brother's wife, except in the even that she is a widow.",Assessing/Judging
"It is good to be romantic, but not exaggerated, but it is also important to allow her time for herself.",Advice/Opinion-seeking
That is the same reasoning behind why some men cheat on their wives.,Assessing/Judging
You must care for her a great deal.,Casual Conversation
I have gone through an extremely difficult break-up.,Support
It depends on how old you are.,Advice/Opinion-seeking
What if we have kids and he just does not feel like discussing it now.,Advice/Opinion-seeking
You should consider counseling.,Advice/Opinion-seeking
Be there for him. Listen.,Support
Good Luck! You are going to need it!,Snark/Sarcasm
My ex-girlfriend was quite amorous.,Personal Experiences/Recommendations
Many men who watch pornography believe it is normal to be very well endowed.,Judging
Men are attracted to younger women and are easily succumb to them.,Assessing/Judging
They should only remain friends.,Judging
"To be brief, they do not have to.",Judging
You don't need more than a handful.,Advice/Opinion-seeking
"Just a few months ago, he told me I had his heart!",Complaints/Rants
I worry that I am going to get fat.,Support
"The most romantic place for a first kiss is in the rain, like in the movie 'The Notebook'.",Preferences/Decisions
"I wish that I could stay home and cook, not only bake cookies.",Preferences/Decisions
"Her child or children should come first, not the man in her life.",Assessing/Judging
"Possibly try to kiss him, and you may be able to tell if he loves you.",Advice/Opinion-seeking
"If I were you, I would not return.",Advice/Opinion-seeking
"If he doesn't like you, then he's not worth it.",Advice/Opinion-seeking
And don't answer with all that PC language.,Snark/Sarcasm
But don't think this guy can ever replace you in her heart.,Assessing/Judging
It won't be easy to forgive him.,Assessing/Judging
But you don't know if the person you have feelings for is feeling them back.,Advice/Opinion-seeking
Ask him or her if they only feel friendship for you or if it is more than friendship.,Advice/Opinion-seeking
With some who she says that she loves.,Casual Conversation
"I asked him in the parking lot after work, and the rest is history.",Personal Experiences
"He is my best friend and buys me fancy things, but we are not dating or anything else.",Casual Conversation
Just the way my girlfriend looks now.,Emotional Expression
"If you are in a long distance relationship, you should take is slow.",Advice/Opinion-seeking
That's someone who could upset things.,Judging
Yes a girl can get pregnant during her first time in intercourse.,Information
Undernet and Dalnet are both good.,Preferences/Decisions
"A majority of the time, that's all they want.",Opinion
The most important feature of females is not their breasts.,Subjective Opinion
You shouldn't have intercourse with everyone you like.,Advice/Opinion-seeking
Girls are more proper and actually care about their intelligence and beauty.,Judging
Nice guys finish last and often lose the girl.,Judging
"If that's his first question to you, he isn't worth it.",Assessing/Judging
"It is painful, it feels similar to having a person throw ice water on your face.",Complaints/Rants
"Give it some thought, and give yourself time.",Advice/Opinion-seeking
It has been 5 years since I was in my last relationship.,Personal Experience Sharing
"But yes, I am the one you were talking about. Why are men cruel?",Emotional Expression / Inquiry
You have a person to join you in doing activities you enjoy.,Support
I would advise you to go and join him and enjoy yourself.,Advice/Opinion-seeking
He should seek a woman who has talent.,Advice/Opinion-seeking
This is due to the ancient time when people were judged on survival of the fittest.,Causality
You could always consider paying for it.,Advice/Opinion-seeking
"I would advise asking for a photo first, and having some conversations on the phone.",Advice/Opinion-seeking
"Men who I am attracted to are never attracted to me, and I am not interested in the ones who are interested in me.",Complaints/Rants
But she also claims to still love me.,Socio-emotional
Sometimes men avoid women after women confess their feelings.,Assessing/Judging
Simply because men are angry and hungry as well.,Causality
"Also, do not dwell on it overmuch.",Support
I don't think you should be having sex.,Advice/Opinion-seeking
Consider this advice for later on in life.,Advice/Opinion-seeking
"You could make her a candle, but you would have to buy the stuff to make it.",Advice/Opinion-Seeking
She should be providing for you in other ways too.,Advice/Opinion-Seeking
"It's sexy when a  woman can take control, in and out of bed.",Preferences/Decisions
A hand crafted card for her with tons of love.,Opinion - Preferences/Decisions
To me there is nothing sexier than legs!,Preferences/Decisions
I like tiny girls compared to curvy girls.,Preferences/Decisions
"Not to be perverted or anything, but that's usually what people do the night, day of, or after they get married!",Casual Conversation
"If she is into it, then just bring it up and have the guy or girl come over.",Advice/Opinion-seeking
"A person who will appreciate them as they are rather than criticizing their appearance, etc.",Advice/Opinion-seeking
Respect her privacy and do not speak badly of her to her friends.,Advice/Opinion-seeking
It is how the world works.,Judging
How do I keep my new boyfriend happy?,Advice/Opinion-seeking
"In my opinion, a bridal dress should be long.",Preferences/Decisions
Do you mean being straight and gay at the same time?,Inquiry
"if she likes it and it does not bother you, do not judge her, just make her happy and pull away.",Advice/Opinion-seeking
"If you are married, he should pay them, too.",Judging
There are a lot of ways.,Procedurality
"He likes me, but he will not tell me.",Assessing/Judging
"Honestly, I think you will fall and are doomed to be in love with them.",Judging
Life is too short to waste on someone that does not want you.,Advice/Opinion-seeking
If that does not work stop worrying about it because it is just your genetics.,Advice/Opinion-seeking
I cannot get her off of my mind because I need her very badly right now.,Emotional Expression
It depends on your mood.,Preferences/Decisions
There are an equal number of great men out there as there are great women.,Opinion
Then you should not get a long at all.,Judging
"Don't let your girlfriend have so much control, hope all goes smoothly.",Advice/Opinion-seeking
"This means zero communication if you can help it, no email, no phone calls, no letters, nothing.",Advice/Opinion-seeking
"Sorry, but you have to do what your Mother or Father tells you to do.",Advice/Opinion-seeking
I believe you just have to wait for him to provide more.,Advice/Opinion-seeking
People will wonder why is took so long.,Assessing/Judging
"Honestly, I don't believe it is the right thing to make a guy pay all the time. I never make guys pay.",Preferences/Decisions
"I think that if you are thinking about it, you will not feel it.",Advice/Opinion-seeking
"If I wanted a woman shaped like a twelve year old boy, that is what I would go after.",Judging
"You do not have to like this woman, but you do have to be civil, because of your daughter.",Advice/Opinion-seeking
"It is a nice combination of upstate New York, deep south, and New England garbage.",Opinion/Judging
They are all out to get you.,Warning/Caution
You should be cautious regardless of where you meet someone.,Warning/Caution
"You can to have romance, but if you don't love the person then you won't be able to have romance.",Judging
I have been in similar situations before.,Personal Experiences/Recommendations
I find this guy very fun to be around.,Preferences/Decisions
"No, she does not think that I am not attracted to her.",Judging
It may be because you are under the age of eighteen.,Causal Explanation
I hope you will have a Happy New Year.,Casual Conversation
My childrens  ages are five and three.,Information Sharing
You should not force or manipulate her into doing something if she is mot willing.,Advice/Opinion-seeking
We do not have much of a social life outside of my family because my husband does not care fpr meeting people.,Complaints/Rants
If you want it search for it.,Advice/Opinion-seeking
Paris Hilton said that is what i like.,Gossip
It is your priority.,Preferences/Decisions
I am not blaming you.,Support
You must go outside and look.,Directive
"Like Paris Hilton would say, ""That's hot!""",Humor
It is something that you will have to experience.,Advice/Opinion-seeking
Or you could find a nice lesbian who wants to have children and work from there.,Advice/Opinion-seeking
"I am not saying that you are, but the ones who I have had experiences with are.",Judging
Just be honest' tell her it's over.,Advice/Opinion-seeking
"If he cheats, you wouldn't have a clue.",Assessing/Judging
They don't want you to leave.,Judging
I can't get this woman out of my brain!,Emotional Expression
Why not ask her on a coffee date?,Advice/Opinion-seeking
I don't want to end my marriage because I have a daughter.,Preferences/Decisions
I would aree with working from home.,Preferences/Decisions
Love the girl that your parents disagree with.,Advice/Opinion-seeking
"Although she's telling and showing me how much she likes me, I'm still not sure what she's thinking.",Emotional Expression
Stop dating people that don't like you.,Advice/Opinion-seeking
It becomes the question of do you love him.,Opinion Seeking
That was a stupid question.,Judging
Did you try hitting him in the head after he was quiet for too long?,Humor
Tell yourself you have nothing to worry about.,Support
I am not gay!,Emotional Expression
"It's split right down the middle. If we give, you will give.",Preferences/Decisions
It's quite amusing and good-looking.,Casual Conversation
"One day, your heart will let you know that it was the best thing that you've ever done.",Support
"After looking at my photograph, do you think that I look smart?",Advice/Opinion-seeking
It's just difficult to make them see it.,Complaints/Rants
It will be successful if he is present.,Opinion - Assessing/Judging
Some guys are looking for more than just sex.,Judging
Keep in mind that Christian girls are attracted to Christian guys.,Advice/Opinion-seeking
I suppose that you must ask him.,Advice/Opinion-seeking
"If he is not present, it will not be successful.",Assessing/Judging
"Your English is atrocious. Before you place further consideration on matters of kissing, you must improve your horrible grammar.",Complaints/Rants
I am certain that there are. Some men do not possess a strong sexual appetite for various reasons.,Information
Remember that smart women prefer smart men.,Preferences/Decisions
"Every time I am about to do it, I cannot and I feel bad about it.",Complaints/Rants
"Do not ignore or close the door on you two, I hope I helped.",Advice/Opinion-seeking
You will get over the first as soon as you meet the second.,Advice/Opinion-seeking
My family goes to the public library or town hall and ask people there where to go.,Personal Experiences/Recommendations
That is like taking her to a movie.,Casual Conversation
"In regards to the situation, it is not a banana present in his pocket.",Humor
I understand your viewpoint as you would like be be noticed without extreme embellishment.,Opinion-Seeking
"Additionally, you should cease to live if you are still unsure of what to give him.",Complaints/Rants
As frequently as they desire.,Preferences/Decisions
You gentlemen are able to discuss any subject.,Casual Conversation
"Follow your initial instinct, that is why instincts exist.",Advice/Opinion-seeking
"For whatever reason, they tend to be lovely when they are finished. I cannot fathom why.",Opinion/Assessing
"In my experience, they simply want to have coitus.",Personal Experiences/Recommendations
"As it turns out, I am twenty-one years old but have not had a boyfriend as yet.",Personal Experiences/Recommendations
"That is quite telling, friend. He merely wants to impregnate you then leave you, do you understand?",Assessing/Judging
I'm also looking for the same item as you are.,Casual Conversation
"I'm sorry, but he will repeat this behaviour.",Judging
Do I feel different than the others?,Subjective Questions
Don't bother. Let him catch us together.,Assessing/Judging
"That is, if you can treat the cause of depression.",Inquiry
Perhaps you need to repeat yourself to him.,Advice/Opinion-seeking
He says you make him a better person.,Opinion
"God bless you, your family and your friends.",Support
She does not want to get hurt again.,Assessing/Judging
Most people are concerned with their weight.,Observation/Judgement
Perhaps he did not hear what you said so please say it again.,Advice/Opinion-seeking
You may want to stay in this relationship since he wants to improve himself for you.,Advice/Opinion-seeking
It seems she is not interested in improving the situation.,Assessing/Judging
"If you do not give, you can not receive.",Advice/Opinion-seeking
I agree that equality is never truly equal.,Judging
Stay tuned!  The Indiana Lottery will be televised in the near future.,Information
Good luck to you and your family in your future endeavors.,Support
My limited free time has caused dissension between my boyfriend and my best friend.,Emotional Expression
"I cannot say the words ""HELL NO"" loud enough here.",Complaints/Rants
It could have just slipped his mind.,Opinion
"Once you get this by chatting, you can get anything from them.",Advice/Opinion-seeking
This is a weird question but I wonder if you like to be spanked.,Opinion Seeking
"There may be trust issues, and to be honest he is with his pals now instead of being with you.",Assessing/Judging
I agree with the two answers previous to mine.,Agreement
"I say, if you're happy when you do it, why not?",Advice/Opinion-seeking
That would end up being your wake up call.,Caution/Warn
"Sometimes a certain situation will bring you around, or someone else.",Casual Conversation
Unless you're very intoxicated.,Humor
"If that is holding you back, then simply forget it and ask the fellow on a date.",Advice/Opinion-seeking
Simply look for results that are x-rated when you are searching.,Advice/Opinion-seeking
"If so, acquire an item with that team's logo on it for him.",Advice/Opinion-seeking
Women like us are not as likely to converse about it as men are.,Judging
"You need to be flexible at the start, then seize control later on.",Advice/Opinion-seeking
What should I do?,Advice/Opinion-seeking
I had a best friend who happened to be bisexual.,Personal Experiences/Recommendations
"Sometimes during arguments, we say and do things that we do not mean.",Causality
It should not matter where you are.,Assessing/ Judging
This is the nature of women and men.,Judging
"Regardless of what transpires, consequences will follow.",Causality
"Three years after the fact, they returned and we remained very close friends.",Personal Experiences
The exceeds the expectations of any gift you could possibly give her.,Opinion
Most probably in the bedroom on top of the bed itself.,Information
"Naturally, this makes it much harder.",Complaints/Rants
Do not allow him to be sexist towards you.,Advice/Opinion-seeking
A person who is honest and creative.,Preferences/Decisions
I do not care what your co-worker said about your friend without your knowledge.,Complaints/Rants
Simply call if you want.,Preferences/Decisions
"For others, however, I say if both people in the relationship are happy, then they are fine.",Advice/Opinion-seeking
That is a difficult question to which I cannot give an answer.,Information - Inquiry
"Why don't you associate with a girl friend with more positive attributes, such as the desire to share with others.",Advice/Opinion-seeking
I admire you as a person. I am patient that others will accept our love.,Support
"You may not believe so, but there are many people who have much in common with you.",Casual Conversation
She moves quickly. My timing is less hurried.,Preferences/Decisions
"Can you please clarify, what you mean by fun?",Information Seeking
As long as the action did not happen while you both were a couple.,Assessing/Judging
"Sorry, but wishing does not exist.",Judging
I think you do not need a man.,Judging
Beyonce is nice but i would not just want to go off her looks.,Preferences/Decisions
"After four years, he should be prepared to return what was said.",Assessing/Judging
"However, if you simply try to solve it, your only loss is the time spent.",Advice/Opinion-seeking
Overreact when he is asked questions in a suspicious tone.,Advice/Opinion-seeking
"I want people to feel comfortable here, but oh, you are pretty.",Compliments
I do not like men that are too quiet or too funny.,Preferences/Decisions
Your actions reflect your strength and courage.,Support
"I do not understand it all, and am not able to provide an answer.",Information Seeking
The task is difficult and may be better not to bother with it.,Advice/Opinion-seeking
"If you are politely asked to stop writing, then it may be best to stop.",Advice/Opinion-seeking
Do they manipulate you or control you?,Inquiry
"If you are a nice person, please keep reading.",Casual Conversation
Are you male or female?,Information Seeking
You probably shouldn't be conversing with him because he is probably only interested in intercourse.,Advice/Opinion-seeking
I could not believe how incredibly sexy it was!,Emotional Expression
"Andy, you need to wait until you are older to date.",Advice/Opinion-seeking
The last time I had sex with my wife was two months ago.,Complaints/Rants
If he refuses to engage with oral sex with me.,Advice/Opinion-seeking
"However, I really care about him.",Emotional Expression
Do you not like his children?,Judging
Do you try to make things exciting?,Inquiry
It will make it even more special with a flower or a rose.,Advice/Opinion-seeking
I understand your pain.,Support
"When the fin is gone, love follows.",Emotional Expression
"You can do the moves little girls do, like dropping hints and subtly flirting.",Advice/Opinion-seeking
"If you think about it, how much do you know about her?",Information Seeking
"Secondly, why do women fight with other women about a man?",Causality
(Comes down to see what they look like on the inside),Casual Conversation
"Well dear, where should I start?",Advice/Opinion-Seeking
Stop being lazy and get to work man.,Complaint/Rant
"You can't find it, it finds you!",Humor
"Enjoy it to the fullest, it is whatever floats your boat.",Preferences/Decisions
"Time only knows, time only knows.",Emotional Expression
When must you ask that?,Objective Questions
"Yes, just as the other people have said.",Support
"Other than that, it really depends on the girl, so good luck to you,sir.",Advice/Opinion-seeking
When do you meet a new girl?,Information Seeking
"Most gentlemen enjoy it when you initiate sex, get loud and talk dirty.",Opinion/Advice
Perhaps you should just allow him to ask you.,Advice/Opinion-seeking
"Typically, after I am promoted to the next grade, the issue goes away.",Personal Experiences/Recommendations
Perhaps your significant other is just being a little overprotective.,Assessing/Judging
What should I do if I am not given a chance online?,Advice/Opinion-seeking
"Although I cannot speak for anyone else, I personally like things that are big.",Preferences/Decisions
"I would advise against it, because your girlfriend is too bashful to be alone with you.",Advice/Opinion-seeking
"Excluding that, he is a good husband.",Assessing/Judging
Two reasons are him beginning to decline dates and losing the desire to kiss you.,Causality
"However, he still did not take it.",Complaints/Rants
i would advise giving him a Ferrari and an I-Pod.,Advice/Opinion-seeking
I don't understand why people cheat.,Causality
"Grandma always stated, ""Why buy the cow, when you can get the milk for free?"".",Advice/Opinion-seeking
Most likely she receives similar items often.,Assessing/Judging
You should let him go. It sounds as if it wasn't meant to be.,Advice/Opinion-seeking
"Think about marriage when you find the person that you love.  Until then, have fun looking.",Advice/Opinion-seeking
It would be beneficial if you move closer to me.,Advice/Opinion-seeking
Act like a man and ask her out on a date.,Advice/Opinion-seeking
It is somewhat difficult but it is possible.,Opinion
He's disappointed when i buy him something expensive or really nice.,Complaints/Rants
Many women think they love those particular guys.,Judging
This person is constantly in my thoughts.,Emotional Expression
It doesn't bother me when my husband does it.,Preferences/Decisions
"Nothing is fool proof and there are always dangers, so be sensible.",Warning/Caution
"If she is attractive, try though it is still peculiar.",Advice/Opinion-seeking
"As you said, the ring is not the issue.",Information (Clarification)
It as though your heart is on a frying pan.,Emotional Expression
We have been friends since we were infants.,Casual Conversation
Is that your question?,Information Seeking
Do not interact with my daughter!,Warning/Caution
I haven't found one yet!,Complaints/Rants
"Your best option might be an older gentleman, since men your age often prefer younger ladies.",Advice/Opinion-seeking
I understand that it was distressing! Please contact me via e-mail.,Support
"I do not know, but it drives me nuts not knowing.",Complaints/Rants
"I have been happily married for a couple years, and if you listen to me, you should wait.",Advice/Opinion-seeking
You might be geeky or lame but there is someone out there that likes that in a person.,Support
He is no good if he flirts with you while he as a girlfriend.,Judging
I can talk to her about that.,Casual Conversation
I believe she wanted to keep it concealed.,Judging
I am open to other options.,Preferences/Decisions
I have a friend who is experiencing something similar.,Support
"Her happiness is important, but we do not seem to be on one accord.",Complaints/Rants
"Even though you will find that one, do not look.",Warning/Caution
Why not look into gay couples adoption?,Advice/Opinion-seeking
I am an ass man anyway.,Preferences/Decisions
I look at it this way.,Advice/Opinion-seeking
"Most guys are just jerks, but good luck to you anyway.",Judging
If you do not like it then do not partake in it anymore.,Advice/Opinion-seeking
"I just got out of a two year relationship, and most of my friends are men.",Personal Experiences/Recommendations
You should try to make things work with her.,Advice/Opinion-seeking
Why would they care?,Causality
You should get some insight from sleeping with other men's wives.,Advice/Opinion Seeking
"Cook him breakfast, play with his toys, and do not talk so much.",Advice/Opinion-seeking
"I am like that, but it does not mean that I do not take my comittments seriously.",Clarification/Explanation
"Yet, I still love the guy.",Emotional Expression
"First base is french kissing, second base is under the shirt, third base is heavy petting, and a home run means sexual intercourse.",Information
Do not forget the red bow around your waist.,Procedurality
Be who you are and do not look back.,Advice/Opinion-seeking
Send him a card and write to ask him what and why.,Advice/Opinion-seeking
Your love with heart and soul is the best gift.,Emotional Expression
"I really think he likes, but I am not too sure.",Advice/Opinion-seeking
If I have an affair with someone does it amount to iinfidelity because I am not happy with my husband.,Information Seeking
The best we can do is to hang in there and keep trying.,Support
"Even if they look good, they might sound low class or idiotic.",Assessing/Judging
Why would you want a boy to notice you if you do not like them?,Opinion Seeking
"Gay men do that, however, straight men do not.",Assessing/Judging
"Take advantage of that now that summer is here, my friend from South Brazil.",Casual Conversation
"Always remember, the past is behind us",Support
"Do you have another girlfriend yet, or still looking?",Subjective Questions
"He needs to chose what he wants, and you need to give him time to do that.",Advice/Opinion-seeking
"Oh, its the old ""Its no you, its me"" line.",Snark/Sarcasm
Listen to the things that he says about your mutual relationahip.,Advice/Opinion-seeking
"He may do to you, what he did to her.",Judging
"Because friendship is very important, you may consider not altering it.",Advice/Opinion-Seeking
How do you know that only one chance may be available?,Objective Questions
Is it possible that you consider the future too often?,Advice/Opinion-seeking
You possibly miss him because you are comfortable with his presence.,Opinion/Assessing
If she lies then she must accept the consequences.,Judging
Decide if he is being honest or dishonest.,Assessing/Judging
It is not only wives who lie and break promises.,Judging
I have not learned to do this.,Information Seeking
Do not listen to hear say.,Warning/Caution
"Move on, there are more options out there.",Advice/Opinion-seeking
And when she cheated she promised to never do it again.,Assessing/Judging
I used to get the shot and it turned me into s psycho!,Complaints/Rants
"If they aren't, it's probably an awful idea and you're just causing drama.",Assessing/Judging
Don't pick up the bill.,Advice/Opinion-seeking
They want a partner to spend the rest of their lives with.,Preferences/Decisions
What I mean is did he see you naked?,Inquiry
Ten hours by car or plane?,Information Seeking
All of the other kids are doing it.,Complaints/Rants
The hardest is telling her face to face.,Opinion
"It is clear that if either of them is bothered, you should not do it.",Advice/Opinion-seeking
Do not be the one to follow after her,Advice/Opinion-seeking
It is dishonest to break ones promise.,Judging
"you look well, perhaps you should come closer.",Casual Conversation
You are quite young in comparison to him for either of you to have interest in one another.,Assessing/ Judging
Just say you love him to him then grab his nose.,Advice/Opinion Seeking
"Probably the same, needles hurt, getting pocked with a tack, rusty nail.",Complaints/Rants
"Hi, i'm from Minnesota, anyways, you can try doing a Yahoo people search.",Information (Personal Experiences/Recommendations)
"Honey i'm preoccupied now, we will talk when I get home.",Casual Conversation
I have no idea if she is humble or not.,Inquiry
"I would advise you to have a conversation with her, and find out what's going on.",Advice/Opinion-seeking
Nor do I consider that to be safe.,Warning/Caution
It seems that you are the kind of girl who is in a rebound relationship.,Assessing/Judging
I am unable to fathom this.,Complaining/Ranting
"When a relationship has a strong foundation and began for the right reasons, age and looks will not matter later on.",Advice/Opinion-seeking
"If she gets angry, then maybe she is not such a good friend as you thought.",Assessing/Judging
"If you can lie about little things, then you are able to lie even more about the big things.",Assessing/Judging
And now I have been invited to move with some friends to Texas.,Informational Sharing
I say my boyfriend's name or just a yes.,Preferences/Decisions
"If she is sweet, then she does not have to be as sexy.",Preferences/Decisions
You should just be yourself because pick-up lines no longer work.,Advice/Opinion-Seeking
Sometimes it is preferrable to act intellegently rather than insist on being right.,Advice/Opinion-seeking
"No, I cannot identfy anything wrong with that.",Opinion
"If you believe in God, you should pray that he send the right person to you.",Advice/Opinion-seeking
I disagree: women do not enjoy intercourse more than men do.,Judging
A surprise concerning another person's behavior can occur even after one believes to have all knowledge of that person.,Information Seeking
This is very simple as suspicion of a partner's cheating most likely happens when the partner is cheating.,Assessing/ Judging
Has any one prepared a special item for a wife causing her to smile?,Inquiry
I very much desire to locate the 'Happenies' at any location with any person.,Information Seeking
"Try making him a nice, romantic dinner.",Advice/Opinion-seeking
"If you have doubts, then you aren't ready for marriage.",Assessing/Judging
Do not use inebriation as an excuse to contact your former partner.,Advice/Opinion-seeking
Don't be afraid to be alone or even find another partner until you two reunite.,Advice/Opinion-seeking
Money and material things shouldn't be the top priority.,Advice/Opinion-seeking
"In conclusion, yes, it is meaningful.",Opinion
Try this e-mail address: sixeight_sixtyeight@yahoo.com. I am a pleasant man.,Casual Conversation
"Ask the fourteen year old girl, she should know.",Snark/Sarcasm
"Go to the movie theater and see a movie, but not one which is a sequel to one you watched with your former partner.",Advice/Opinion-seeking
He merely will not possess all of that luggage.,Complaints/Rants
Bad girls are easy.  Nice girls are difficult to get.,Judging
Step up.  Tell her how you feel.,Advice/Opinion-seeking
Just say it.  Do not drag it out.,Advice/Opinion-seeking
"If you loved him, you would not have cheated in the first place.",Assessing/Judging
"Besides honey, what to call your loved one.",Inquiry
I giver her my trust and believe that she is loyal.,Assessing/Judging
I am trying to do some investigating for my sister.,Information Seeking
"I am planning my wedding right now, and it has helped me a lot.",Personal Experiences/Recommendations
"Then before you realize it, you are no longer attractive and settle for whomever treats you nicely.",Judging
I would say it would depend on whether the person is having sex.,Judging
Is it appropriate to marry the young sister of your brother's wife?,Advice/Opinion-seeking
How can I give him the time he needs when I barely have time for myself?,Advice/Opinion-seeking
"First, you need to calm down.",Support
"No, if you want a casual relationship, please find someone new, not someone you have a history with.",Advice/Opinion-seeking
Because you do not get to give oral sex.,Complaints/Rants
"If strong, independent women will socialize with me, then I prefer the strongest possible women.",Preferences/Decisions
A man and woman are falling in love following courting.,Casual Conversation
"If not, it is time to pursue other avenues in your life.",Advice/Opinion-seeking
"Without the temptation of a penis, most heterosexual males do not know definitely know the answer.",Humor
"Without involving yourself emotionally, casually date others.",Advice/Opinion-seeking
Bring her over tonight and the doctor will inform you tomorrow morning.,Procedurality
Take whatever opportunity you get to have sex.,Advice/Opinion-seeking
He's ready to come by then.,Preferences/Decisions
"Just ask her, and try adding something like maybe entertainment or a nice dinner.",Advice/Opinion-seeking
Because I can't sleep thinking about her.,Emotional Expression
"I'm just not attracted to white girls, and there is nothing wrong with that.",Preferences/Decisions
I go to turn over and ouch!,Complaints/Rants
"I know I'm not your age, I'm 23.",Casual Conversation
I wouldn't date a girl with breasts bigger than my own.,Preferences/Decisions
I just don't know what to do.,Support Seeking
Losing a love can crush you in pain.,Emotional Expression
"Love is picking up his dirty underwear, day after day.",Complaints/Rants
I might be biased because I'm a man.,Preferences/Decisions
"When I'm not in a relationship, there's someone I spend time with.",Casual Conversation
"Don’t give it another thought, go have fun.",Advice/Opinion-seeking
A huge fight resulted because she had begun to slam things around and I had asked her to stop.,Complaints/Rants
Try singing the alphabet.  It would make your child a genius after your friend gives birth.,Humor
Have you ever made a mistake?,Personal Experiences/Recommendations
The kids are asleep and they have nothing else to do.,Casual Conversation
Everyone else is in a relationship and you will not trick them for long if you are not in the long run.,Complaints/Rants
"If it is too large, it is very uncomfortable.",Complaints/Rants
I am leaving on a plane.,Information
"If something is bothering you, it will likely always bother you.",Assessing/ Judging
Does a woman's size matter when referring to men?,Information Seeking
"He went visit his kids last night while they were at their mother's house, and he has not returned.",Information Seeking
"You'd rather get back together first, correct?",Preferences/Decisions
"Besides that, it was fun.",Casual Conversation
Sounds to me as if she doesn't approve.,Assessing/Judging
What are your feelings about him? Have you informed him?,Information Seeking
You'll be rolling in girls with those three pick up lines I gave you.,Humor
Choose the one you like best.,Preferences/Decisions
Ask one of her friends what is going on.,Advice/Opinion-seeking
"Kiss, make out, oral sex, then sex.",Procedurality
That is life and we must accept all of its rules.,Opinion
Go over there and talk to them!,Advice/Opinion-seeking
There are too many perverts all over the place.,Complaints/Rants
She was not overweight when I found her.,Judging
The taxi is waiting; he is blowing his horn.,Information
"Well, I have had a little trouble with this as well.",Personal Experiences/Recommendations
Tell him you are tired of the relationship and that you would like to see other people.,Advice/Opinion-seeking
"Now, if she is twenty-five and you're forty that's a different story.",Judging
"If he thinks you're weak, beat something up and see what happens.",Advice/Opinion-seeking
And you can also ask him about his feelings for you.,Advice/Opinion-seeking
"Men are afraid of strong, independent women cause they believe we'll take more control of them, I suppose.",Opinion (Judging)
"That would love me, and just enjoy me!",Emotional Expression
"Typically, reserved men prefer that women act first.",Opinion
Do not allow yourself to be hurt any longer.,Advice/Opinion-seeking
I do not only think.,Emotional Expression
"Firstly, I told my close friends who it was that I desired romantically.",Personal Experiences/Recommendations
"He has informed me that since he has children, he does not feel he needs to be committed to just one woman.",Information Sharing
This is the optimal way to develop a friendship.,Advice/Opinion-seeking
Supposedly he claims that there was no sexual relationship with his friend.,Gossip
That kind of behavior from a man would cause me to have some extreme disagreements with him.,Assessing/Judging
"However, I do not feel you should give up on him.",Advice/Opinion-seeking
You should move on and find somebody whom you can trust again since chances are he will hurt you again.,Advice/Opinion-seeking
